Timestamp,Price
05.01.2017 02:30 - 05.01.2017 02:45,30.14
05.01.2017 02:45 - 05.01.2017 03:00,29.81
05.01.2017 03:00 - 05.01.2017 03:15,29.67
05.01.2017 03:15 - 05.01.2017 03:30,29.75
05.01.2017 03:30 - 05.01.2017 03:45,31.61
05.01.2017 03:45 - 05.01.2017 04:00,34.92
05.01.2017 04:00 - 05.01.2017 04:15,24
05.01.2017 04:15 - 05.01.2017 04:30,28.92
05.01.2017 04:30 - 05.01.2017 04:45,37
05.01.2017 04:45 - 05.01.2017 05:00,43.42
05.01.2017 05:00 - 05.01.2017 05:15,18.39
05.01.2017 05:15 - 05.01.2017 05:30,29.53
05.01.2017 05:30 - 05.01.2017 05:45,44.37
05.01.2017 05:45 - 05.01.2017 06:00,56
05.01.2017 06:00 - 05.01.2017 06:15,15.12
05.01.2017 06:15 - 05.01.2017 06:30,36.43
05.01.2017 06:30 - 05.01.2017 06:45,54.41
05.01.2017 06:45 - 05.01.2017 07:00,64.1
05.01.2017 07:00 - 05.01.2017 07:15,39.7
05.01.2017 07:15 - 05.01.2017 07:30,52.89
05.01.2017 07:30 - 05.01.2017 07:45,62
05.01.2017 07:45 - 05.01.2017 08:00,67.44
05.01.2017 08:00 - 05.01.2017 08:15,56.8
05.01.2017 08:15 - 05.01.2017 08:30,57.46
05.01.2017 08:30 - 05.01.2017 08:45,58.98
05.01.2017 08:45 - 05.01.2017 09:00,62.7
05.01.2017 09:00 - 05.01.2017 09:15,61.3
05.01.2017 09:15 - 05.01.2017 09:30,59.13
05.01.2017 09:30 - 05.01.2017 09:45,56
05.01.2017 09:45 - 05.01.2017 10:00,52.89
05.01.2017 10:00 - 05.01.2017 10:15,58.22
05.01.2017 10:15 - 05.01.2017 10:30,54.77
05.01.2017 10:30 - 05.01.2017 10:45,53.67
05.01.2017 10:45 - 05.01.2017 11:00,51.27
05.01.2017 11:00 - 05.01.2017 11:15,54.46
05.01.2017 11:15 - 05.01.2017 11:30,53
05.01.2017 11:30 - 05.01.2017 11:45,54
05.01.2017 11:45 - 05.01.2017 12:00,51.52
05.01.2017 12:00 - 05.01.2017 12:15,55.3
05.01.2017 12:15 - 05.01.2017 12:30,52.19
05.01.2017 12:30 - 05.01.2017 12:45,50.58
05.01.2017 12:45 - 05.01.2017 13:00,50.6
05.01.2017 13:00 - 05.01.2017 13:15,50.95
05.01.2017 13:15 - 05.01.2017 13:30,52.47
05.01.2017 13:30 - 05.01.2017 13:45,52.6
05.01.2017 13:45 - 05.01.2017 14:00,52
05.01.2017 14:00 - 05.01.2017 14:15,45.43
05.01.2017 14:15 - 05.01.2017 14:30,48
05.01.2017 14:30 - 05.01.2017 14:45,54.45
05.01.2017 14:45 - 05.01.2017 15:00,60.13
05.01.2017 15:00 - 05.01.2017 15:15,47
05.01.2017 15:15 - 05.01.2017 15:30,52.4
05.01.2017 15:30 - 05.01.2017 15:45,58.91
05.01.2017 15:45 - 05.01.2017 16:00,63.4
05.01.2017 16:00 - 05.01.2017 16:15,52.63
05.01.2017 16:15 - 05.01.2017 16:30,59.1
05.01.2017 16:30 - 05.01.2017 16:45,68.1
05.01.2017 16:45 - 05.01.2017 17:00,72.96
05.01.2017 17:00 - 05.01.2017 17:15,65.42
05.01.2017 17:15 - 05.01.2017 17:30,74
05.01.2017 17:30 - 05.01.2017 17:45,78
05.01.2017 17:45 - 05.01.2017 18:00,78
05.01.2017 18:00 - 05.01.2017 18:15,73.05
05.01.2017 18:15 - 05.01.2017 18:30,70.47
05.01.2017 18:30 - 05.01.2017 18:45,68.91
05.01.2017 18:45 - 05.01.2017 19:00,64.55
05.01.2017 19:00 - 05.01.2017 19:15,74.59
05.01.2017 19:15 - 05.01.2017 19:30,67.77
05.01.2017 19:30 - 05.01.2017 19:45,62.2
